title,company,state,location,category,type,pay,description,sourceUrl
SPICE OF LIFE CAFE,Employer (see description),QLD,QLD,hospitality,casual,,"we are looking for a breakfast chef for our Cafe Spice of Life Cafe Deli & Catering
Only daytime work, no split shifts, no nights.Pls send r3sume to info@spiceoflifecafedeli.com or call in at the cafe for a chat",
Dishwasher – Lake Barrine Teahouse,Employer (see description),QLD,QLD,farm,casual,,"Lake Barrine National Park, Far North Queensland
We are looking for a reliable dishwasher to join our team two days per week.
This role is focused on washing dishes and keeping the dish area clean and organised during busy service. It is a physically active job, so you must be comfortable working on your feet and handling a fast-paced environment.
Details:
2 days per week at this stage
More hours available from April as we enter our busy season
Eligible for 88 days regional work
Friendly, family-run workplace
Located in beautiful Lake Barrine National Park
If you’re dependable, hardworking and don’t mind getting your hands wet, we’d love to hear from you.
Please send your CV and availability to info@lakebarrine.com.au",
"Plant Operator / Forklift Operator - Toowoomba, QLD",Employer (see description),QLD,Toowoomba,other,casual,$35.93 per hour,"The Role
We are seeking reliable Plant and ForkliftOperators to join the fertiliser and agricultural processing industry in Toowoomba, Queensland. You'll be part of a practical, safety-focused team operating in a physical, outdoor plant environment. The position suits someone who enjoys hands-on work, equipment operation, and contributing to efficient production outcomes.
Key Responsibilities
In this role, you will support the day-to-day operation of the manure pad and fertiliser processing activities, ensuring work is completed safely, efficiently, and to quality standards.
Operate plant and mobile equipment including loaders, screeners, water trucks, and turners
Contribute to granulation and fertiliser processing through effective planning and execution of pad activities
Maintain safe, efficient, and accurate operations in line with workplace health and safety requirements
Assist with production plant activities and other areas of the fertiliser business unit as required
Identify, report, and respond to safety hazards and operational issues
Maintain quality standards, accurate records, and proper care of equipment
Benefits
$35.93 per hour plus penalty rates
Approx, 3 months work
Approximately 40 hours per week with consistent work
Opportunity to build skills across plant operations and fertiliser processing
Strong safety culture and supportive team environment
Your Skills & Experience
Previous experience operating plant or mobile equipment (loaders, water trucks, or similar)
Strong commitment to workplace health and safety
Ability to work outdoors in a physical, production-based environment
Reliable, proactive, and able to follow instructions accurately
Willingness to assist across different areas of the operation as required
Current Forklift Licence
Atleast 3 months of Loader Experience
Apply:
https://www.agrilabour.com.au/candidates/current-positions/plant-operator-forklift-operator-toowoomba-qld-bbbh28944/application-form/20008/",https://www.agrilabour.com.au/candidates/current-positions/plant-operator-forklift-operator-toowoomba-qld-bbbh28944/application-form/20008/
SOUS CHEF,Pay in line with the Restaurant Industry Award,QLD,Cairns,hospitality,casual,,"Cairns
LOOKING FOR OUR NEXT KILLER SOUS CHEF
Palooka in Stratford is on the hunt for a skilled Sous Chef to join our busy, dynamic kitchen team.
What’s on offer:
Full- time position
Flexible roster
Supportive, professional team environment
Pay in line with the Restaurant Industry Award (level based on experience)
About you:
Proven experience in a busy, stand-alone restaurant
Highly organised with a strong, task-focused mindset
Skilled across multiple areas including larder pans, grill and pastry
Calm and collaborative under pressure
Committed to a long-term role (locals preferred)
If you’re ready to bring your skills to a thriving kitchen, email your resume to Marco at:
jobs@palooka.com.au",
Station Hand,Employer (see description),QLD,QLD,farm,casual,,"Station Hand Job
We are a family owned and run cattle station in the Julia Creek district NW Qld.
We are currently seeking a station hand.
To qualify as a suitable candidate; you must be able to work in a small team environment or independently as instructed, and have the capacity and willingness to work unsupervised.
The suitable candidate must be trustworthy, of sober habit, non smoker, have a great learning attitude, and be able to follow instructions but also use initiative where required.
Work includes but not limited to mustering, branding, working cattle through the yards, other general station duties such as checking waters, fencing and fence maintenance, woody weed control and machine operations etc..
Must be able to ride a 2 wheel motorbike. Have a drivers license. Must bring your own sun safe appropriate work clothing, hat and boots.
All meals and Air conditioned, single, self-contained accommodation provided.
If interested, please forward your resume, or experience and contact details to: benpowermax@hotmail.com",
Bartenders and Floor Staff,The Beaumont,QLD,Brisbane,other,casual,,"Brisbane
Hey everyone,
The Beaumont is looking to expand our team!!! We're in need of both experienced bartenders and determined floor staff who are free Friday's, Saturdays and able to work large events during the day and evenings. Email your resume to barmanager@thebeaumontbrisbane.com.au if interested!",
🚗 WE’RE HIRING – Car Detailer / Yard Person (Cairns,Employer (see description),QLD,Cairns,cleaning,full_time,,"We are looking for a reliable, hands-on person who’s happy working outdoors to keep our vehicles looking their best and our yard presentation sharp.
✅ Full-time or casual (we’ll consider both)
✅ Travellers welcome to apply
✅ Outdoor work / open-air yard
Duties include:
* Wash, vacuum & detail vehicles (interior + exterior)
* Prep cars for delivery, photos and display
* Maintain outdoor yard and showroom presentation (clean, tidy, organised)
* General clean-up and support tasks
What we’re looking for:
* Reliable, punctual and takes pride in presentation
* Good eye for detail and works efficiently
* Fit and comfortable working outside in Cairns conditions
* Able to work in a team and also unsupervised
Bonus (not essential):
* Driver’s licence
* Cut & polish / buffing experience
* Previous detailing or dealership experience
To apply:
Call or message Ask for Colin 0400524333
Start ASAP.",
Ping Pong is on the hunt for an energetic Bartender to join the team.,Employer (see description),QLD,QLD,hospitality,casual,,"What’s on offer
• Award rates
• Tips on top
• Staff meals every shift
• 20+ hours per week
• Fun, supportive crew and busy service
What we’re after
• Cocktail and bar experience
• Great energy and customer focus
• Fast, clean, team player
• Weekend availability
If you can shake, stir and keep the good times flowing, we want you.
Apply - careers@lovepingpong.com.au",
We’re Hiring - Fridays Riverside,our bustling rooftop bar & restaurant,QLD,QLD,hospitality,casual,,"Hello BBN,
We’re looking for skilled and reliable floor staff to join our bustling rooftop bar & restaurant team.
If you have experience working as a food runner, glassy, or host in a fast paced and/or large capacity venue, we’d love to hear from you!
What we need from you:
- current RSA
- great customer service and communication
- ability to handle fast paced & high volume service
- full weekend availability, including late nights
- a can-do attitude and strong work ethic
For the right candidate, there is strong potential to progress into a bar position.
Immediate start available
If this sounds like you, we’d love to hear from you! Please send your resume to admin@fridays.com.au",
Experiences Chef/ Cook Needed for Immediate Start,Employer (see description),QLD,QLD,farm,casual,,"Chef/experienced cook position available at the lions den hotel near cooktown.
We are looking for an experienced person to join our team. Looking for long term a minimum.
Eligible for the 88 days
Accommodation available
Immediate start with two week trial
Must be able to work in a team environment
Please send resume to
Lindaparadise12@gmail.com
Thank you",
📣QCCC Tamborine is hiring!,📣QCCC Tamborine,QLD,QLD,cleaning,casual,,"We are looking for enthusiastic people to join our housekeeping team!
If you’re
* keen to work
* available any days
* generally 3-4 hour shifts, starting at either 8.30 or 9am
* physically fit and enjoy teamwork
* hold a bluecard (or be eligible for one)
There is no bed making, just cleaning of our cabins and halls.
Applications close Monday 9th March, 2026
Please email your application to admin@tamborine.qccc.org.au",
FOH Positions Available,Employer (see description),QLD,Fortitude Valley,other,casual,,"FOH Positions Available at Snack Man (Fortitude Valley)
Experienced section waiters + runners
Multiple roles. 15-25 hrs p/w. $31.19 - $46.73 p/h. + tips
Experience essential
Applications to eat@snack-man.com.au
https://www.instagram.com/snackmanbris/",https://www.instagram.com/snackmanbris/
Now Hiring – Join Our Outback Crew in Longreach!,Our Outback Crew in Longreach,QLD,QLD,hospitality,casual,,"Are you the kind of person who laughs easily, works hard and loves making someone’s day?
Do you have a sense of adventure (and a sense of humour to match)?
We’re gearing up for the season and looking for warm, capable team members to join us in:
• Hospitality / Guest Services
• Booking Office
• Housekeeping
• Wait Staff
This isn’t just a job — it’s a season of stories, sunsets, teamwork and genuine outback hospitality. Every day is different. One moment you’re welcoming travellers from around Australia (and the world), the next you’re sharing a laugh with your teammates as the outback sky turns gold.
We’re looking for people who:
• Take pride in creating memorable experiences
• Bring positive energy and initiative
• Are reliable, practical and team-focused
• Don’t mind rolling up their sleeves
• Value adventure over ordinary
Experience is wonderful — but attitude is everything.
If you’re ready to work hard, have fun, and be part of a team that genuinely cares about what we do, we’d love to hear from you.
Please visit our website www.outbackpioneers.com.au. Go to ABOUT, then CAREERS. If your exact role is not listed, apply anyway as we are always looking for great people. Don't forget to upload your CV and a short note about why you’d be a great fit.
You can also email us direct at operations@outbackpioneers.com.au",
Barista position Cairns,Vines cafe,QLD,Cairns,hospitality,casual,,Vines cafe is looking for a front of house allrounder to join our team. Solid barista skills required. Please email resume to merodia@limberlost.com.au,
Nursery Hand,Employer (see description),QLD,Bundaberg,farm,part_time,,"Nursery Hand
AgPD is an independent agricultural research company, based in Bundaberg Queensland, supporting sustainable and profitable agriculture through science. We provide a range of independent research and development focussing on field efficacy trials, crop variety trials and cooperative research work. We are also have a developing contract growing nursery.
We currently have part-time or casual position available for:
Nursery Hand
This role will be fully supervised with a focus on contract growing of tree seedlings and general maintenance of plants on our entire site. This will typically involve daily tasks of irrigation, fertilising, weed and pest control of potted plants, and our field crop and tree sites.
As the role grows more responsibility will be given to the right applicant.
We would like to hear from you if you think you would like to become involved in this opportunity.
To be successful in this role you will require:
Love growing excellent quality plants
Love meeting the needs of our team
The ideal candidates will be rewarded with competitive wages, ongoing training a friendly, experienced and knowledgeable workplace culture.
To apply for either of these roles, please submit a copy of your resume and a covering letter summarising experience.
Please address any questions about the role to Mitchell Faint 0480 274 902 or to apply
Please ensure a covering letter is submitted along with your application. Only those applicants shortlisted will be contacted.
Applications close 10 April 2026.",
"Chef / Cook – RedDoor Café (Cloncurry, QLD)",RedDoor Café,QLD,QLD,hospitality,full_time,,"Full-time | 5 days per week | Housing available
RedDoor Café is seeking a capable Chef or experienced Cook to deliver quality, café-style food in a structured, community-focused environment. This is not short-order or roadhouse cooking. We produce fresh, well-presented meals, cabinet food, and thoughtful specials suited to a modern regional café.
RedDoor is a registered charity operating youth programs and social enterprises across North West Queensland. The café also provides supported work pathways for young people.
The Role
5 days per week (set roster)
Prepare and present consistent, high-quality café-style meals
Produce cabinet items, daily specials, and seasonal menu items
Maintain strict food safety and hygiene standards
Manage prep, stock rotation, portion control, and ordering
Work efficiently during service while maintaining presentation
Work alongside and model standards for young people in training
About You
Proven experience as a Chef or Cook in a café-style environment
Strong understanding of food quality and presentation
Sound knowledge of food safety practices
Patient and able to work constructively with young people
Organised, reliable, and able to maintain standards independently
This is a hands-on role for someone who takes pride in food quality, runs a clean kitchen, and can balance production with mentoring responsibilities.
Housing available for the right applicant.
(02) 4784 1328",
"Citrus Packer - Emerald, QLD",Employer (see description),QLD,Emerald,farm,casual,$31.19 per hour,"The Role
We're looking for Citrus Packers to join our client's busy citrus packing shed in Emerald, QLD - offering consistent seasonal work in a supportive team environment, with the added benefit of affordable living and a relaxed regional lifestyle. You'll be working as part of a supportive crew to grade, pack and prepare citrus to customer specifications and standards.
Key Responsibilities
Your overall purpose in this role is to help the packing team deliver high-quality fruit by accurately grading, packing and operating packing equipment to meet order and productivity requirements.
Work at your assigned station and follow supervisor/leading hand direction
Cull and grade fruit accurately to required standards and productivity targets
Pack fruit to order requirements (including correct presentation, labelling and counts)
Operate auto-pack and/or computer pack equipment to standard procedures (as required)
Report quality, insect, plant, mechanical or maintenance issues promptly
Assist with other duties as needed
Benefits
$31.19 per hour + penalty rates
Appro. 6 months of consistent work
Approx. 35-55 hours per week
Structured tasks, clear standards and on-the-job guidance
Gain experience across grading, packing and automated packing systems
Work with a team that values quality, communication and safe work practices
Your Skills & Experience
Reliable and punctual with a strong work ethic
Comfortable with repetitive tasks and standing for long periods
Strong attention to detail for grading, packing and labelling accuracy
Able to work at a steady pace to meet productivity targets
Clear communication skills and willingness to follow supervisor direction
Application Form:
https://www.agrilabour.com.au/candidates/current-positions/citrus-packer-emerald-qld-bbbh29074/application-form/20006/",https://www.agrilabour.com.au/candidates/current-positions/citrus-packer-emerald-qld-bbbh29074/application-form/20006/
🐎 JOB OPPORTUNITY | LIVESTOCK HAND / PEN RIDER – GOONDIWINDI,Smithfield Cattle Company,QLD,QLD,farm,casual,,"🐎 JOB OPPORTUNITY | LIVESTOCK HAND / PEN RIDER – GOONDIWINDI
Smithfield Cattle Company is seeking an experienced Livestock Hand / Pen Rider to join the team at Sapphire Feedlot near Goondiwindi.
Smithfield is a family owned cattle operation running large scale feedlots and farming enterprises across Southern Queensland. This role suits someone committed to animal welfare and interested in building a long term career in the feedlot industry.
Key responsibilities include
• Daily livestock handling and pen moves using low stress techniques
• Monitoring animal health and meeting quality assurance standards
• Accurate record keeping and data management
• Supporting animal welfare and WHS standards
• Assisting across other areas of the feedlot as required
What you will need
• Strong horsemanship skills, own horses and tack suitable for feedlot work
• Understanding of animal health and welfare
• Good communication and organisational skills
• Current driver licence
• Feedlot experience preferred
Competitive pay based on experience, training and development opportunities, and accommodation may be provided.
View full details and apply here
https://goondiwindiregion.com.au/.../smithfield-cattle.../",https://goondiwindiregion.com.au/.../smithfield-cattle.../
FOLIAGE HARVESTERS REQUIRED,The fresh-cut foliage division of the business,QLD,Sunshine Coast,other,casual,,"Foliage Harvesting Positions
Cedar Hill Corporate Group is a group of Australian horticultural companies specialising in the production and marketing of Australian native plants for the nursery, landscaping, and cut flower industries.
The fresh-cut foliage division of the business is seeking enthusiastic & energetic people to fulfill multiple positions for our foliage harvesting roles based in the Sunshine Coast Region (Gympie Region & Cooloola).
No previous experience is required. Our foliage is all hand-picked. All training is provided to meet our specific requirements.
Position requirements are:
Must have a 4WD vehicle suitable for offroad use as you will be required to use your vehicle.
Mobile Phone.
Enjoy working outdoors.
Able to work alone (when needed).
Enjoy being part of a busy team.
Early morning starts.
Reliable.
Reasonable level of fitness.
Piece picking rate, Award wages, and daily vehicle allowances apply.
An opportunity to work outdoors with a great work-life balance (no weekend work required).
Please send a cover letter and resume to andyd@cedarhill.com.au",
Hiring Hospitality Staff,Employer (see description),QLD,QLD,hospitality,casual,,"Calling all wine wizards, pickle-brine enthusiasts, charismatic hosts, savoury obsessives and late night romantics.
We’re assembling the team for a new and very delicious venture, a neighbourhood bar & restaurant in the Valley, built around great bottles, big flavours and fun energy.
Thoughtful food, serious wine, records on rotation, and a room that settles in from first pour to last call.
We’re currently hiring:
• Section Waiters
• Bartenders
• Bar Supervisors
• Hosts / Floor Supervisors
• Late Night Chefs
• Kitchen Hands
The feel: fast-paced but intimate, high standards without the ego, service that feels generous and personal.
The brief: you’re experienced, switched-on and genuinely love hospitality. You care about flavour, you know how to read a room, and you understand that the best venues are built on connection.
Prior experience is essential. A love of eating well and drinking better is non-negotiable.
If you believe the best nights are made around shared plates, great playlists and one more bottle “for the table” - then please fwd your resume to manager@crowbarbrisbane.com
🕺🏻",
"Berry Picker - Wamuran, QLD",Employer (see description),QLD,Caboolture,farm,casual,$31.19 per hour,"The Role
We're seeking Berry Pickers to join a busy blueberry farm in Wamuran, QLD. Located just 10 minutes from Caboolture and around 1 hour north of Brisbane, enjoy fresh air, great team culture, and consistent seasonal work in a beautiful outdoor setting. You'll be picking, sorting, and assisting with a range of farm hand duties to support the daily operations.
Key Responsibilities
In this role, you'll help deliver high-quality fruit and support smooth farm operations from field to shed by following quality standards and working efficiently as part of the team.
Identify and pick ripe, firm, completely blue blueberries with care and speed
Sort berries at picking stations and ensure only quality fruit is sent through
Place picked blueberries into buckets and follow correct handling procedures
Assist with tipping and packing tasks as required
Perform weeding and general crop maintenance duties
Support the packing shed and other farm hand duties as needed
Follow all workplace health and safety procedures and farm instructions
Benefits
$31.19 per hour + penalty rates
7 months of work
38 hours per week
Consistent roster with opportunity to build routine and stability
On-the-job support with clear quality and picking standards
Variety of duties across the farm and packing tasks
Your Skills & Experience
Current Driver's Licence (required)
Ability to work outdoors and perform physical, repetitive tasks (standing, bending, lifting)
Good attention to detail to meet fruit quality standards
Reliable, punctual, and able to work well in a team
Comfortable following instructions and safety procedures
To apply please fill out the form
https://www.agrilabour.com.au/candidates/current-positions/berry-picker-wamuran-qld-bbbh29084/application-form/20007/",https://www.agrilabour.com.au/candidates/current-positions/berry-picker-wamuran-qld-bbbh29084/application-form/20007/
Pastry Chef Wanted – 88 Days Eligible,our growing,QLD,Cairns,farm,full_time,,"📍 Yungaburra | Atherton Tablelands (1.5 hrs from Cairns)
Ready to swap Cairns humidity for crisp mountain mornings and rainforest surrounds?
Burra Bakehouse is a brand-new artisan bakery seeking a skilled and passionate Pastry Chef to join our growing team.
We’re serious about quality and are looking for someone experienced in:
• Croissants & viennoiserie
• Pâtisserie
• Sourdough & artisan breads
What we offer:
• Creative freedom to help shape and evolve the menu
• Approx. 35 hours per week
• Casual position with potential to move into full-time
• Eligible regional work (88 days)
Live and work in beautiful Yungaburra, in the heart of the Atherton Tablelands — a vibrant, food-loving regional community surrounded by rainforest and waterfalls.
📩 Send your resume to: admin@burrabakehouse.com",
We are Hiring!,Employer (see description),QLD,Brisbane,hospitality,casual,,"Hey BBN!
We’re building a gun team for one of Brisbane’s newest large-scale hospitality & entertainment venues and are on the hunt for legends to join us
Roles available:
• Runners & Clearers
• Bartenders
• Wait Staff
• Hosts
Think high-volume service, great vibes, quality products, and plenty of opportunity for shifts and growth. If you’re reliable, positive, and love working in a fast-paced environment — we want to hear from you.
Landers Pocket
Immediate starts available
Email your CV to manager@landerspocket.com.au
https://www.instagram.com/4pineslanderspocket/",https://www.instagram.com/4pineslanderspocket/
Kitchen hand required,Employer (see description),QLD,QLD,hospitality,casual,,"Apply with a Resume only and for more information
Kitchen@transhotel.net.au
Busy city pub require a casual kitchen hand. Happy stable team. Staff parking onsite.
Early evening finish
We are looking for:
At least 1 years relevant experience
Good knowledge of food safety and hygiene.
Ability to work in a team environment.
Flexibility to work days and nights",
FOH Member,Marlowe Restaurant,QLD,Brisbane,hospitality,casual,,"Now Hiring – FOH member at Marlowe Restaurant
Seeking a motivated and proactive FOH to join our team.
About the Role:
Approximately 20–30 hours per week,
Primarily evening and weekend shifts
Opportunity to work across a busy two-level venue in South Brisbane
Supportive and professional team environment
We’re looking for someone who is:
Proactive and takes initiative
A fast learner with great attention to detail
Keen to work and eager to develop within the hospitality industry
Send me an email to jorge@marlowebne.com.au with your resume if interested.",
Casual/Part time Barista,Employer (see description),QLD,QLD,hospitality,part_time,,"We're looking for a reliable, upbeat Barista to kick off our day with great energy and even better coffee!
What we're offering:
Starting at 15-20 hours per week, with room to grow to 25-30 hours as things pick up
A fun, fast-paced environment where your positivity shines
Opportunity to hone your craft and make regulars smile every day
You’ll be great if you:
Have solid experience making quality coffee (espressos, lattes, cappuccinos, flat whites – you know your stuff!)
Bring a positive attitude and love chatting with customers
Can handle the morning rush with a smile and stay calm under pressure
Are dependable and ready to start early (think pre-dawn vibes!)
No need for fancy latte art degrees – just genuine skill behind the machine and a great vibe.
However you’ll need your own transport as we are located in Brookfield, 4069.
If you're passionate about coffee and ready to brighten people's mornings, we'd love to hear from you!
How to apply: email us at manager@brookfieldstore.com.au – or drop by with a resume and your favorite coffee order. Let's chat over a brew!",
General Farmhands,Sutton Farms,QLD,QLD,farm,casual,,"About Us
Sutton Farms is a family-owned and operated fresh produce business based in the Lockyer Valley. We specialize in growing high-quality tomatoes, spring onions, lettuce, wombok, and other small crops year-round, delivering fresh produce to our customers nearly every day.
With approximately 900 acres of cultivated land across multiple sites in the Lockyer Valley and Darling Downs, we supply all major central markets along the east coast and leading supermarket chains, making our produce available in most states of Australia.
Our diverse team of over 150 comes from various backgrounds and nationalities, all working together to bring fresh, locally grown produce to Australian tables.
As we look ahead to 2025, Sutton Farms is set to produce more than ever before. To meet this growing demand, we're expanding our team and looking for eager individuals to join us on this journey.
The Role
Sutton Farms is looking for General Farmhands to join our team in the Lockyer Valley. While relevant farm and crop experience will be looked upon very favourably, farm experience is not necessary. The successful applicant will require:
Willingness to learn and perform tasks to the required standards
Ability to follow direction from supervisors
Good communication skills
Own reliable transport and licence
All duties are general farm duties and include, but are not limited to:
Planting seedlings
Tomato work (trellising, pull wires, run wires, pull pegs)
Irrigation (lay trickle, set out pipes, lift trickle)
Tractor driving
Harvesting
If you have had previous industry experience with the tasks mentioned, please outline this in your application. Please send your cover letter and resume to Sutton Farms’ office email – jobs@suttonfarms.com.au
Successful applicants will be contacted for interview. Remuneration will depend on industry knowledge and experience, with growth and career progression based on performance and attitude.",
WE’RE HIRING – VENUE MANAGER 🍻,Employer (see description),QLD,QLD,other,full_time,,"Dream of swapping traffic lights for sunsets?
Straddie Brewing Co is on the hunt for a full-time Venue Manager to lead our brewery venue on beautiful North Stradbroke Island | Minjerribah.
This is a hands-on leadership role — someone who can build a strong team, run a tight floor, deliver exceptional guest experiences and help drive the next phase of our growth.
You’ll work closely with our founder and leadership team, with real influence and opportunity to grow as we evolve.
And yes… accommodation is available for the right person.
Beaches before work.
Sunsets during service.
Community. Great beer. Island life.
If this sounds like you — or someone you know — get in touch or tag them below.
📩 Send CV to gday@straddiebrewing.com.au",
WE ARE HIRING,Castaways on Moreton Island,QLD,Brisbane,hospitality,casual,,"We are currently looking for people to fill a couple of positions at Castaways on Moreton Island. We are looking for an All Rounder and Housekeeping
Castaways offers a small licenced store/Café, holiday accommodation and glamping onsite, so duties include but are not limited to front of house, kitchen duties, barista, housekeeping and general duties around our site on Moreton Island. (Anyone with mechanical knowledge is a bonus)You will be interacting with customers(most of who are on holidays), so must be energetic, friendly and have a smile on your face! You must be able to lift items, be able to work on your own an self motivated, be flexible with a willingness to learn new skills. A RSA or willing to get one is essential.
This is a casual position as our workload fluctuates, but generally 30 to 38hrs per week. preference for longer than 6 months stay.
We are on a complete sand island 35kms off Brisbane only accessible via boat/jetski or a 1.5hr ferry ride from Brisbane, but we have beautiful beaches and water, great fishing and snorkelling. We can organise your accommodation on the Island if required. You also get a meal while working and discounted groceries and meals in our store. Who wouldn’t want to live on this beautiful island!
Please send your resume, skills and information about yourself to jobs@castawaysmoretonisland.com.au (please dont ring or message us, emails only)",
Backpackers wanted 88 days,Employer (see description),QLD,QLD,farm,casual,,"Free accomodation and some food in return for hours of work feeding and cleaning animals
House and yard duties
I live on 10 acres with my 8 year old son
Lots of farm animals on the river
Very easy going and good
atmosphere
Bonus to be able to clean, work with people and animals
Yard duties
fencing
Good morning
I live in 10 acres on the river with my own animal farm business
I have had lots of backpackers stay and help for food and accomodation
I can support the 88 days but not afford to pay $$ so if there is a way of helping each other.
I am easy going with my youngest boy 8 and two older boys live across the road with there dad
I do the Carrara markets every weekend with the animals.
I have a tiny home so have people come and stay
Daily feeding animals and cleaning pens
Helping with house duties
Cooking
Tiny home to organise
Help with my son Ashley
All my backpackers have loved staying here and we get to have fires etc
Fishing and crabbing
Horse ridding
0475044869",
🍺 We’re Hiring – Dishwasher / Kitchen Hand 🍽️,Crafty Monk,QLD,QLD,hospitality,casual,,"🍺 We’re Hiring – Dishwasher / Kitchen Hand 🍽️
Crafty Monk is looking for a reliable and hardworking Dishwasher / Kitchen Hand to join our team.
Experience Not Required – Full Training Provided
We’re looking for the right attitude, not the perfect resume. If you’re motivated, reliable, and willing to learn, we’ll teach you the rest.
✔️ Night availability essential
✔️ Full weekend availability required
✔️ Fast-paced, team environment
✔️ Great crew & supportive workplace
If you’re dependable, take pride in your work, and thrive in a busy kitchen — we’d love to hear from you.
Send your resume to venue@craftymonk.com.au",
🦘🦘 Sanctuary Volunteers Needed! 🐎🐓,Employer (see description),QLD,Sunshine Coast,hospitality,casual,,"Dhil’um-bar Kangaroo Sanctuary – Conondale, Sunshine Coast Hinterland
Love animals? Want to make a real difference out in nature?
Dhil’um‑bar Kangaroo Sanctuary is a 24/7 rescue and rehabilitation centre caring for injured, orphaned and displaced macropods — kangaroos and wallabies. 🌿💚
We’re looking for volunteers who are happy to work both independently and alongside a supportive team. There’s a bit of lifting, bending, sweeping and shovelling involved, so an average level of fitness is helpful.
Our volunteer family includes:
✨ Retirees
✨ People healing from injuries
✨ Survivors rebuilding after domestic violence
✨ Busy professionals seeking calm, connection & meaning
…all united by a love for animals and nature.
If you don’t mind getting your hands a little dirty — feeding ICU patients, assisting with medications, cleaning enclosures, and giving gentle care — this may be the perfect role for you! 🦘💛
🌿 Why you’ll love it:
- Quiet bush land environment
- Hands‑on wildlife care
- Heartfelt connection with animals in recovery
- A supportive and welcoming volunteer team
🫱 Interested? Learn more & express your interest:
https://volunteeringsc.org.au/volunteers/?oppId=217615",https://volunteeringsc.org.au/volunteers/?oppId=217615
Moo Moos The Wine Bar and Grill Brisbane is hiring immediately!,Moo Moos The Wine Bar and Grill Brisbane,QLD,Brisbane,hospitality,casual,,"Good Evening All,
Moo Moos The Wine Bar and Grill Brisbane is hiring immediately!
Looking to fill mutliple positions from Section Waiters, and Hosts. We are looking forward to have you join the team of equally passionite hospitality professionals who enbrace our moto of exceptional service and fantastic product.
What you have to look forward to:
💵 Fantastic Weekly Tips
⏳️ Minimum 25 to 35 hours a week (Evenings and Day Shifts avaliable - Open Mon to Sat)
🥩 Staff meals
🎁 Dining discounts
🏆 Competitive Award Rates
Requirements for Hosts:
🗓 Time management
👞 Strive in a fast paced environment
🤗 Can do attitude, willingness to learn, teamwork, make a memorable experience for guests
Requirements for Section Waiters:
⏳️ Minimum 2 years of experience in a fast paced formal dining environment
🍷 Wine knowledge (favourable)
🗓 Time management
👞 Strive in a fast paced environment
🤗 Can do attitude, willingness to learn, teamwork, make a memorable experience for guests
For all interested applicants, please email your current resume to
assistantmanager.bne@moomoorestaurant.com
We look forward to hearing from you 😊",
🎟️ Ticketing Supervisor Wanted,Employer (see description),QLD,QLD,other,casual,,"We’re currently seeking experienced Ticketing Supervisors to support upcoming events across Australia, with a strong focus on Queensland. If you have experience in ticketing, entry operations, POS, or leading gate teams in live event environments, we’d love to hear from you.
This is a hands-on role overseeing entry operations, ticket scanning teams, POS activity and live troubleshooting during sports, festivals and large-scale events. You’ll be the on-ground lead for all things ticketing, ensuring systems run cleanly and customers move efficiently from arrival to entry.
If you’re confident with technology, calm under pressure and experienced in live event environments, this could be your next step.
Please email your CV and a short intro to Brady@flicket.io 🎟️",
Brewing Brands is Hiring!,Brewing Brands,QLD,QLD,farm,casual,,"Brewing Brands is looking for a reliable and energetic casual picker/packer to join our team. Located in Murarrie.
Monday to Friday 11am - 4pm (25hours per week).
Must be physically fit and able to do manual lifting of up to 15kg.
If you are looking for consistent weekday hours and working in a great team environment, we'd love to hear from you.
Email your resume to sharon@brewingbrands.com.au",
Casual Bartenders - Wynnum Golf Club,Wynnum Golf Club,QLD,QLD,other,casual,,"Hey BBN,
Wynnum Golf Club is looking for a casual bartender to join our small and friendly team!
If you love pouring XXXX gold and Hahn 3.5, and making the occasional cocktails for functions and weddings we’d love to have you on board.
This is a casual position, Paid under the Registered & Licensed Clubs Award.
Staff perks include;
Free Golf
Free Staff Meals
And Free Coffee
If this is something you’d be interested in, either flick me a message or send your resume through to bar@wynnumgolf.com.au",
